DATE,MEASURE_NAME,OBS_VALUE,Temp,Implied_date,Geo
2018-05-01,Claimant count,101.91598360655738,-01,2018-05-01,West Midlands
2018-04-01,Claimant count,101.59836065573771,-01,2018-04-01,West Midlands
2018-03-01,Claimant count,97.54610655737706,-01,2018-03-01,West Midlands
2018-02-01,Claimant count,94.74897540983606,-01,2018-02-01,West Midlands
2018-01-01,Claimant count,89.81045081967213,-01,2018-01-01,West Midlands
2019-12-01,Claimant count,140.3125,-01,2019-12-01,West Midlands
2019-11-01,Claimant count,140.28688524590166,-01,2019-11-01,West Midlands
2019-10-01,Claimant count,138.55532786885246,-01,2019-10-01,West Midlands
2019-09-01,Claimant count,136.56762295081967,-01,2019-09-01,West Midlands
2019-08-01,Claimant count,134.85655737704917,-01,2019-08-01,West Midlands
2019-07-01,Claimant count,132.38217213114754,-01,2019-07-01,West Midlands
2019-06-01,Claimant count,131.24487704918033,-01,2019-06-01,West Midlands
2019-05-01,Claimant count,127.30532786885247,-01,2019-05-01,West Midlands
2019-04-01,Claimant count,125.28688524590163,-01,2019-04-01,West Midlands
2019-03-01,Claimant count,122.0389344262295,-01,2019-03-01,West Midlands
2019-02-01,Claimant count,118.0686475409836,-01,2019-02-01,West Midlands
2019-01-01,Claimant count,112.26946721311475,-01,2019-01-01,West Midlands
2020-09-01,Claimant count,278.52971311475414,-01,2020-09-01,West Midlands
2020-09-01,Claimant count,278.52971311475414,-01,2020-09-01,West Midlands
2020-09-01,Claimant count,278.52971311475414,-01,2020-09-01,West Midlands
2020-09-01,Claimant count,278.52971311475414,-01,2020-09-01,West Midlands
2020-08-01,Claimant count,275.2561475409836,-01,2020-08-01,West Midlands
2020-07-01,Claimant count,269.87704918032784,-01,2020-07-01,West Midlands
2020-06-01,Claimant count,265.5788934426229,-01,2020-06-01,West Midlands
2020-05-01,Claimant count,270.46618852459017,-01,2020-05-01,West Midlands
2020-04-01,Claimant count,222.6997950819672,-01,2020-04-01,West Midlands
2020-03-01,Claimant count,147.89959016393445,-01,2020-03-01,West Midlands
2020-02-01,Claimant count,144.56454918032787,-01,2020-02-01,West Midlands
2020-01-01,Claimant count,141.0860655737705,-01,2020-01-01,West Midlands
2008-12-01,Claimant count,144.55445544554456,-01,2008-12-01,Herefordshire
2008-11-01,Claimant count,128.3828382838284,-01,2008-11-01,Herefordshire
2008-10-01,Claimant count,116.17161716171618,-01,2008-10-01,Herefordshire
2008-09-01,Claimant count,115.18151815181518,-01,2008-09-01,Herefordshire
2008-08-01,Claimant count,114.1914191419142,-01,2008-08-01,Herefordshire
2008-07-01,Claimant count,99.33993399339934,-01,2008-07-01,Herefordshire
2008-06-01,Claimant count,94.38943894389439,-01,2008-06-01,Herefordshire
2008-05-01,Claimant count,94.38943894389439,-01,2008-05-01,Herefordshire
2008-04-01,Claimant count,97.02970297029702,-01,2008-04-01,Herefordshire
2008-03-01,Claimant count,100,-01,2008-03-01,Herefordshire
2008-02-01,Claimant count,99.66996699669967,-01,2008-02-01,Herefordshire
